CaseID,weight,XSPANISH,INTERNET,Q1,Q2_A,Q2_B,Q2_C,Q2_D,Q2_E,Q2_Refused,Q3,Q4,Q5_A,Q5_B,Q5_C,Q5_D,Q5_E,Q5_F,Q5_Refused,Q7,Q9,Q10,Q11,Q12,Q13,Q14,INTMOB,INTFREQ,SMART1,SNSINT2,PPAGE,PPEDUCAT,PPETHM,PPGENDER,PPINCIMP,PPMSACAT,PPSTATEN,PPWORK
3,1.1998,2,1,1,0,0,0,0,1,0,5,3,0,0,0,0,0,1,0,6,3,3,1,5,2,6,1,1,2,1,63,1,4,2,5,1,59,7
4,1.5196,2,1,6,0,0,1,0,0,0,4,3,0,0,0,0,0,1,0,6,1,1,3,1,2,5,1,2,1,1,47,2,4,2,1,1,59,7
5,1.2142,1,1,2,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,4,2,1,1,2,2,1,1,2,1,1,70,1,4,1,13,1,33,5
6,1.1868,1,1,6,0,0,0,1,0,0,5,2,0,0,0,1,0,0,0,2,3,1,2,1,2,4,1,5,1,2,60,1,3,1,5,1,93,6
7,2.6632,1,1,6,0,0,0,0,1,0,5,3,0,1,0,0,0,0,0,6,2,3,3,5,3,6,1,1,1,2,31,1,4,2,15,0,85,7
8,1.4453,1,1,6,0,0,0,1,0,0,5,3,0,1,0,0,0,0,0,6,1,3,3,5,3,6,1,1,1,1,18,1,2,2,1,1,84,7
9,1.1536,1,1,6,0,0,0,1,0,0,5,2,0,0,0,1,0,0,0,6,3,2,2,5,3,6,1,2,1,1,42,3,1,1,11,1,47,1
10,.8738,1,1,2,0,0,0,1,0,0,5,2,1,0,0,1,0,0,0,6,3,2,3,1,2,6,1,2,1,1,36,3,1,2,16,1,92,1
11,1.1177,1,1,6,0,0,0,1,0,0,5,2,1,0,1,1,0,0,0,2,1,2,2,1,2,6,1,1,1,1,26,4,1,1,17,1,14,1
12,.8034,1,1,2,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,2,1,2,2,1,2,1,1,2,1,1,31,4,1,1,12,1,93,1
13,1.2881,1,1,6,0,0,0,1,0,0,5,2,1,1,1,1,0,0,0,6,3,2,2,1,2,6,1,1,1,1,37,4,3,2,17,1,93,1
14,1.2263,1,1,2,0,0,0,1,0,0,1,2,1,0,0,1,0,0,0,2,2,2,2,1,2,1,1,1,1,1,33,4,2,2,14,1,54,1
15,1.0455,1,3,6,0,0,0,1,0,0,5,3,0,0,0,1,0,0,0,2,3,3,3,5,3,6,2,5,2,1,51,2,1,1,16,0,32,1
16,1.7321,1,2,2,1,0,0,0,0,0,5,3,1,0,0,0,0,0,0,2,1,1,3,1,2,6,1,1,1,1,25,3,2,1,10,1,23,1
17,1.0443,1,5,6,0,0,0,1,0,0,4,1,0,0,0,0,0,1,0,2,1,2,3,2,2,6,2,5,1,2,26,4,1,2,16,1,54,2
18,1.5653,1,1,2,0,0,0,1,0,0,1,2,1,1,1,1,0,0,0,2,1,1,2,1,2,5,1,1,1,1,29,2,2,1,4,1,58,2
19,.7404,1,1,6,0,0,0,1,0,0,5,3,0,0,0,1,0,0,0,2,3,3,3,2,2,6,2,3,2,2,50,4,1,2,17,1,95,5
20,.8791,1,2,6,0,1,0,0,0,0,5,3,0,0,0,0,0,1,0,2,3,3,3,5,2,6,1,1,1,1,39,3,1,2,6,1,34,7
21,.8062,1,1,6,0,0,0,1,0,0,5,2,0,0,1,1,0,0,0,6,3,1,3,5,2,6,1,4,1,1,71,3,1,1,11,1,32,5
